kanji	katakana	meaning	
きっちり	きっちり	precisely, tightly	 MediaMissing 
きっぱり	きっぱり	clearly, plainly, distinctly	 MediaMissing 
規定	きてい	regulation, provisions	 MediaMissing 
起点	きてん	starting point	 MediaMissing 
軌道	きどう	orbit; track	 MediaMissing 
技能	ぎのう	technical skill, ability, capacity	 MediaMissing 
規範	きはん	model, standard, example	 MediaMissing 
気品	きひん	grace, elegance	 MediaMissing 
気風	きふう	character, traits, ethos	 MediaMissing 
起伏	きふく	undulation	 MediaMissing 
規模	きぼ	scale, scope, plan, structure	 MediaMissing 
気まぐれ	きまぐれ	whim, caprice, uneven temper	 MediaMissing 
生真面目	きまじめ	serious, sincerity	 MediaMissing 
期末	きまつ	(end of the season or term)	 MediaMissing 
きまりわるい	きまりわるい	feeling awkward, being ashamed	 MediaMissing 
記名	きめい	signature, register	 MediaMissing 
規約	きやく	agreement, rules, code	 MediaMissing 
脚色	きゃくしょく	dramatization (e.g., film	 MediaMissing 
逆転	ぎゃくてん	(sudden) change, reversal, turn-around	 MediaMissing 
脚本	きゃくほん	scenario	 MediaMissing 
華奢	きゃしゃ	delicate, slender	 MediaMissing 
客観	きゃっかん	objective	 MediaMissing 
キャッチ	キャッチ	catch	 MediaMissing 
キャリア	キャリア	career, career government employee	 MediaMissing 
救援	きゅうえん	relief, rescue, reinforcement	 MediaMissing 
休学	きゅうがく	temporary absence from school, suspension	 MediaMissing 
究極	きゅうきょく	ultimate, final, eventual	 MediaMissing 
窮屈	きゅうくつ	narrow, tight, formal	 MediaMissing 
球根	きゅうこん	(plant) bulb	 MediaMissing 
救済	きゅうさい	relief, aid, rescue	 MediaMissing 
給仕	きゅうじ	waiter	 MediaMissing 
給食	きゅうしょく	school lunch, providing a meal	 MediaMissing 
休戦	きゅうせん	truce, armistice	 MediaMissing 
宮殿	きゅうでん	palace	 MediaMissing 
旧知	きゅうち	old friend, old friendship	 MediaMissing 
窮乏	きゅうぼう	poverty	 MediaMissing 
寄与	きよ	contribution, service	 MediaMissing 
強	きょう	strong	 MediaMissing 
～狂	～きょう	maniac, fan, freak	 MediaMissing 
驚異	きょうい	wonder, miracle	 MediaMissing 
教科	きょうか	subject, curriculum	 MediaMissing 
協会	きょうかい	association, society, organization	 MediaMissing 
共学	きょうがく	coeducation	 MediaMissing 
共感	きょうかん	sympathy, response	 MediaMissing 
境遇	きょうぐう	environment, circumstances	 MediaMissing 
教訓	きょうくん	lesson, precept, moral instruction	 MediaMissing 
強行	きょうこう	forcing, enforcement	 MediaMissing 
強硬	きょうこう	firm, vigorous, stubborn	 MediaMissing 
教材	きょうざい	teaching materials	 MediaMissing 
凶作	きょうさく	bad harvest, poor crop	 MediaMissing 
業者	ぎょうしゃ	trader, merchant	 MediaMissing 
教習	きょうしゅう	training, instruction	 MediaMissing 
郷愁	きょうしゅう	nostalgia, homesickness	 MediaMissing 
教職	きょうしょく	teaching profession	 MediaMissing 
興じる	きょうじる	to amuse oneself, to make merry	 MediaMissing 
強制	きょうせい	obligation, compulsion, enforcement	 MediaMissing 
行政	ぎょうせい	administration	 MediaMissing 
業績	ぎょうせき	achievement, work, contribution	 MediaMissing 
共存	きょうぞん	coexistence	 MediaMissing 
協定	きょうてい	arrangement, pact, agreement	 MediaMissing 
郷土	きょうど	homeland	 MediaMissing 
脅迫	きょうはく	threat, coercion	 MediaMissing 
業務	ぎょうむ	business, duties, work	 MediaMissing 
共鳴	きょうめい	resonance, sympathy	 MediaMissing 
郷里	きょうり	birth-place, home town	 MediaMissing 
強烈	きょうれつ	strong, intense, severe	 MediaMissing 
共和	きょうわ	republicanism, cooperation	 MediaMissing 
局限	きょくげん	limit, localize	 MediaMissing 
極端	きょくたん	extreme, extremity	 MediaMissing 
居住	きょじゅう	residence	 MediaMissing 
拒絶	きょぜつ	refusal, rejection	 MediaMissing 
漁船	ぎょせん	fishing boat	 MediaMissing 
漁村	ぎょそん	fishing village	 MediaMissing 
拒否	きょひ	denial, rejection, refusal	 MediaMissing 
許容	きょよう	permission, pardon	 MediaMissing 
清らか	きよらか	clean, pure, chaste	 MediaMissing 
きらびやか	きらびやか	gorgeous, gaudy, dazzling	 MediaMissing 
～きり	～きり	only	 MediaMissing 
義理	ぎり	debt of gratitude, obligation	 MediaMissing 
切替	きりかえ	exchange, conversion, switchover	 MediaMissing 
気流	きりゅう	atmospheric current	 MediaMissing 
切れ目	きれめ	break, pause, gap	 MediaMissing 
疑惑	ぎわく	doubt, misgivings, suspicion	 MediaMissing 
極めて	きわめて	exceedingly, extremely (written expression)	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
近眼	きんがん	nearsightedness	 MediaMissing 
緊急	きんきゅう	urgent, pressing, emergency	 MediaMissing 
近郊	きんこう	suburbs, outskirts	 MediaMissing 
均衡	きんこう	equilibrium, balance	 MediaMissing 
禁じる	きんじる	to prohibit	 MediaMissing 
勤勉	きんべん	industry, diligence	 MediaMissing 
吟味	ぎんみ	examination, careful investigation	 MediaMissing 
勤務	きんむ	service, duty, work	 MediaMissing 
禁物	きんもつ	taboo, forbidden thing	 MediaMissing 
勤労	きんろう	labor, exertion, diligent service	 MediaMissing 
クイズ	クイズ	quiz	 MediaMissing 
食い違う	くいちがう	to cross each other, to differ	 MediaMissing 
空間	くうかん	space, room, airspace	 MediaMissing 
空腹	くうふく	hunger	 MediaMissing 
区画	くかく	division, section, area	 MediaMissing 
区間	くかん	section	 MediaMissing 
茎	くき	stalk	 MediaMissing 
区切り	くぎり	an end, a stop, punctuation	 MediaMissing 
くぐる	くぐる	to pass through; to go around	 MediaMissing 
くじ (～をひく)	くじ (～をひく)	lottery, lot	 MediaMissing 
くじびき	くじびき	lottery, drawn lot	 MediaMissing 
くすぐったい	くすぐったい	ticklish	 MediaMissing 
愚痴	ぐち	idle complaint, grumble	 MediaMissing 
口吟む	くちずさむ	to humble	 MediaMissing 
嘴	くちばし	beak, bill	 MediaMissing 
朽ちる	くちる	to rot	 MediaMissing 
覆す	くつがえす	to overturn, to upset, to overthrow	 MediaMissing 
くっきり	くっきり	distinctly, clearly, boldly	 MediaMissing 
屈折	くっせつ	bending, indentation, refraction	 MediaMissing 
ぐっと	ぐっと	firmly, fast, more	 MediaMissing 
首飾り	くびかざり	necklace	 MediaMissing 
首輪	くびわ	necklace, choker	 MediaMissing 
組み込む	くみこむ	to insert, to include, to cut in (printing)	 MediaMissing 
組み合わせる	くみあわせる	to join together, to combine, to join up	 MediaMissing 
蔵	くら	warehouse, cellar	 MediaMissing 
グレー	グレー	grey, gray	 MediaMissing 
クレーン	クレーン	crane	 MediaMissing 
玄人	くろうと	expert, professional	 MediaMissing 
黒字	くろじ	balance (figure) in the black	 MediaMissing 
軍艦	ぐんかん	warship, battleship	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
軍事	ぐんじ	military affairs	 MediaMissing 
君主	くんしゅ	ruler, monarch	 MediaMissing 
群集	ぐんしゅう	(social) group, crowd, mob	 MediaMissing 
群衆	ぐんしゅう	(social) group, crowd, mob	 MediaMissing 
軍備	ぐんび	armaments, military preparations	 MediaMissing 
軍服	ぐんぷく	military or naval uniform	 MediaMissing 
芸	げい	art, accomplishment, performance	 MediaMissing 
経過	けいか	passage, progress	 MediaMissing 
軽快	けいかい	lively, casual, light	 MediaMissing 
警戒	けいかい	warning, admonition, vigilance	 MediaMissing 
敬具	けいぐ	Sincerely (used at the end of letter)	Intermediate_Japanese_Ln.4   MediaMissing Intermediate_Japanese
軽減	けいげん	reduction, lessening	 MediaMissing 
掲載	けいさい	appearance (e.g., article in paper)	 MediaMissing 
傾斜	けいしゃ	inclination, slope, dip	 MediaMissing 
形成	けいせい	formation	 MediaMissing 
形勢	けいせい	condition, situation, prospects	 MediaMissing 
軽率	けいそつ	thoughtless, careless, hasty	 MediaMissing 
刑罰	けいばつ	judgment, penalty, punishment	 MediaMissing 
経費	けいひ	expenses, cost, outlay	 MediaMissing 
警部	けいぶ	police inspector	 MediaMissing 
軽蔑	けいべつ	scorn, disdain	 MediaMissing 
経歴	けいれき	personal history, career	 MediaMissing 
経路	けいろ	course, route, channel	 MediaMissing 
けがらわしい	けがらわしい	filthy, unfair	 MediaMissing 
劇団	げきだん	troupe, theatrical company	 MediaMissing 
激励	げきれい	encouragement	 MediaMissing 
ゲスト	ゲスト	guest	 MediaMissing 
獣	けだもの	beast, brute	 MediaMissing 
決	けつ	decision, vote	 MediaMissing 
決意	けつい	decision, determination	 MediaMissing 
結核	けっかく	tuberculosis	 MediaMissing 
決議	けつぎ	resolution, vote, decision	 MediaMissing 
結合	けつごう	combination, union	 MediaMissing 
決算	けっさん	balance sheet, settlement of accounts	 MediaMissing 
月謝	げっしゃ	monthly tuition fee	 MediaMissing 
決勝	けっしょう	finals (in sports)	 MediaMissing 
結晶	けっしょう	crystal, crystallization	 MediaMissing 
結成	けっせい	formation	 MediaMissing 
結束	けっそく	union, unity	 MediaMissing 
げっそり	げっそり	being disheartened, losing weight	 MediaMissing 
決断	けつだん	decision, determination	 MediaMissing 
月賦	げっぷ	monthly installment	 MediaMissing 
欠乏	けつぼう	shortage	 MediaMissing 
蹴飛ばす	けとばす	to kick away, to kick (someone)	 MediaMissing 
けなす	けなす	to speak ill of	 MediaMissing 
煙たい	けむたい	smoky, feeling awkward	 MediaMissing 
煙る	けむる	to smoke (e.g., fire)	 MediaMissing 
獣	けもの	beast, brute	 MediaMissing 
家来	けらい	retainer, retinue, servant	 MediaMissing 
下痢	げり	diarrhea	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
権威	けんい	authority, power, influence	 MediaMissing 
兼業	けんぎょう	holding two jobs at the same time	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
原形	げんけい	original form, base form	 MediaMissing 
原型	げんけい	prototype, model, archetypal	 MediaMissing 
権限	けんげん	power, authority, jurisdiction	 MediaMissing 
現行	げんこう	present, current, in operation	 MediaMissing 
健在	けんざい	in good health, well	 MediaMissing 
原作	げんさく	original work	 MediaMissing 
検事	けんじ	public prosecutor	 MediaMissing 
原子	げんし	atom	 MediaMissing 
元首	げんしゅ	ruler, sovereign	 MediaMissing 
原書	げんしょ	original document	 MediaMissing 
懸賞	けんしょう	offering prizes, winning, reward	 MediaMissing 
健全	けんぜん	health, soundness, wholesome	 MediaMissing 
元素	げんそ	element	 MediaMissing 
現像	げんぞう	developing (film)	 MediaMissing 
原則	げんそく	principle, general rule	 MediaMissing 
見地	けんち	point of view	 MediaMissing 
現地	げんち	actual place, local	 MediaMissing 
限定	げんてい	limit, restriction	 MediaMissing 
原点	げんてん	origin (coordinates, starting point)	 MediaMissing 
原典	げんてん	original, source	 MediaMissing 
原爆	げんばく	atomic bomb	 MediaMissing 
原文	げんぶん	the text, original	 MediaMissing 
厳密	げんみつ	strict, close	 MediaMissing 
賢明	けんめい	wisdom, intelligence, prudence	 MediaMissing 
倹約	けんやく	thrift, economy, frugality	 MediaMissing 
原油	げんゆ	crude oil	 MediaMissing 
兼用	けんよう	multi-use, combined use	 MediaMissing 
権力	けんりょく	(political) power, authority, influence	 MediaMissing 
言論	げんろん	discussion, speech	 MediaMissing 
故～	こ～	deceased, late	 MediaMissing 
語彙	ごい	vocabulary, glossary	 MediaMissing 
恋する	こいする	to fall in love with, to love	 MediaMissing 
甲	こう	1st in rank; shell	 MediaMissing 
～光	～こう	light	 MediaMissing 
好意	こうい	good will, favor, courtesy	 MediaMissing 
行為	こうい	act, deed, conduct	 MediaMissing 
合意	ごうい	agreement, consent, mutual understanding	 MediaMissing 
工学	こうがく	engineering	 MediaMissing 
抗議	こうぎ	protest, objection	 MediaMissing 
合議	ごうぎ	consultation, conference	 MediaMissing 
皇居	こうきょ	Imperial Palace	 MediaMissing 
好況	こうきょう	prosperous conditions, healthy economy	 MediaMissing 
鉱業	こうぎょう	mining industry	 MediaMissing 
興業	こうぎょう	starting a business; industry	 MediaMissing 
高原	こうげん	tableland, plateau	 MediaMissing 
交互	こうご	mutual, reciprocal, alternate	 MediaMissing 
煌々と	こうこうと	brightly	 MediaMissing 
考古学	こうこがく	archeology	 MediaMissing 
工作	こうさく	handicraft, maneuvering	 MediaMissing 
耕作	こうさく	cultivation, farming	 MediaMissing 
鉱山	こうざん	mine	 MediaMissing 
講習	こうしゅう	short course, training	 MediaMissing 
口述	こうじゅつ	verbal statement	 MediaMissing 
控除	こうじょ	subsidy, deduction	 MediaMissing 
交渉	こうしょう	negotiation	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
高尚	こうしょう	high, noble, refined	 MediaMissing 
向上	こうじょう	rise, improvement, progress	 MediaMissing 
行進	こうしん	march, parade	 MediaMissing 
香辛料	こうしんりょう	spices	 MediaMissing 
降水	こうすい	rainfall, precipitation	 MediaMissing 
洪水	こうずい	flood	 MediaMissing 
合成	ごうせい	synthetic, mixed	 MediaMissing 
公然	こうぜん	openly	 MediaMissing 
抗争	こうそう	dispute, resistance	 MediaMissing 
構想	こうそう	plan, plot, idea, conception	 MediaMissing 
後退	こうたい	retreat, backspace	 MediaMissing 
光沢	こうたく	luster, glossy finish (of photographs)	 MediaMissing 
公団	こうだん	public corporation	 MediaMissing 
好調	こうちょう	satisfactory, in good shape	 MediaMissing 
口頭	こうとう	oral	 MediaMissing 
講読	こうどく	reading	 MediaMissing 
購読	こうどく	subscription	 MediaMissing 
購入	こうにゅう	purchase, buy	 MediaMissing 
公認	こうにん	official recognition, authorization	 MediaMissing 
光熱費	こうねつひ	cost of fuel and light	 MediaMissing 
購買	こうばい	purchase, buy	 MediaMissing 
好評	こうひょう	popularity, favorable reputation	 MediaMissing 
交付	こうふ	delivering, furnishing (with copies)	 MediaMissing 
公募	こうぼ	public appeal, public contribution	 MediaMissing 
巧妙	こうみょう	ingenious, skillful, clever	 MediaMissing 
公用	こうよう	government business, public use, public expense	 MediaMissing 
小売	こうり	retail	 MediaMissing 
効率	こうりつ	efficiency	 MediaMissing 
公立	こうりつ	public institution	 MediaMissing 
護衛	ごえい	guard, convoy, escort	 MediaMissing 
コーナー	コーナー	corner	 MediaMissing 
小柄	こがら	small, diminutive	 MediaMissing 
小切手	こぎって	cheque, check	 MediaMissing 
国産	こくさん	domestic products	 MediaMissing 
国定	こくてい	state-sponsored, national	 MediaMissing 
告白	こくはく	confession, acknowledgment	 MediaMissing 
国防	こくぼう	national defense	 MediaMissing 
国有	こくゆう	national ownership	 MediaMissing 
極楽	ごくらく	paradise	 MediaMissing 
国連	こくれん	U.N., United Nations	 MediaMissing 
焦げ茶	こげちゃ	dark brown	 MediaMissing 
語源	ごげん	word root, word derivation, etymology	 MediaMissing 
心地	ここち	feeling, sensation, mood	 MediaMissing 
心得	こころえ	knowledge, information	 MediaMissing 
心掛け	こころがけ	readiness, intention, aim	 MediaMissing 
心掛ける	こころがける	to bear in mind, to aim to do	 MediaMissing 
志	こころざし	will, intention, motive	 MediaMissing 
志す	こころざす	to plan, to intend, to aspire to	 MediaMissing 
心強い	こころづよい	heartening, reassuring	 MediaMissing 
心細い	こころぼそい	helpless, hopeless, discouraging	 MediaMissing 
試み	こころみ	trial, experiment	 MediaMissing 
試みる	こころみる	to try, to test	 MediaMissing 
快い	こころよい	pleasant, agreeable	 MediaMissing 
誤差	ごさ	error	 MediaMissing 
ございます (かん)	ございます (かん)	to be (polite, to exist)	 MediaMissing 
孤児	こじ	orphan	 MediaMissing 
こじれる	こじれる	to get complicated, to grow worse	 MediaMissing 
こす (みずを～)	こす (みずを～)	to strain, to filter	 MediaMissing 
梢	こずえ	treetop	 MediaMissing 
個性	こせい	individuality, personality, idiosyncrasy	 MediaMissing 
戸籍	こせき	census, family register	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
古代	こだい	ancient times	 MediaMissing 
こたつ	こたつ	table with heater, (originally) charcoal brazier in a floor well	 MediaMissing 
こだわる	こだわる	to fuss over, to be particular about	 MediaMissing 
誇張	こちょう	exaggeration	 MediaMissing 
こつ (をつかむ)	こつ (をつかむ)	secret, trick, hang	 MediaMissing 
滑稽	こっけい	funny, humorous, comical	 MediaMissing 
国交	こっこう	diplomatic relations	 MediaMissing 
骨董品	こっとうひん	curio	 MediaMissing 
固定	こてい	fixation, fixing (e.g., salary, capital)	 MediaMissing 
事柄	ことがら	matter, thing, affair, circumstance	 MediaMissing 
孤独	こどく	isolation, loneliness, solitude	 MediaMissing 
ことごとく	ことごとく	altogether, entirely	 MediaMissing 
言付け	ことづけ	to leave a message	 MediaMissing 
殊に	ことに	especially, above all	 MediaMissing 
粉々	こなごな	in very small pieces	 MediaMissing 
好ましい	このましい	nice, likable, desirable	 MediaMissing 
碁盤	ごばん	Go board	 MediaMissing 
個別	こべつ	particular case	 MediaMissing 
ごまかす	ごまかす	to deceive, to falsify, to misrepresent	 MediaMissing 
細やか	こまやか	meager, modest	 MediaMissing 
コマーシャル	コマーシャル	a commercial	 MediaMissing 
込める	こめる	to include, to put into	 MediaMissing 
コメント	コメント	comment	 MediaMissing 
籠もる	こもる	to seclude oneself, to be confined in	 MediaMissing 
固有	こゆう	characteristic, tradition, peculiar	 MediaMissing 
暦	こよみ	calendar, almanac	 MediaMissing 
凝らす	こらす	to concentrate, to devote, to peer into	 MediaMissing 
ごらんなさい (かん)	ごらんなさい (かん)	look, (please) try to do	 MediaMissing 
孤立	こりつ	isolation, helplessness	 MediaMissing 
懲りる	こりる	to learn by experience, to be disgusted with	 MediaMissing 
凝る	こる	to stiffen, to harden	 MediaMissing 
根気	こんき	patience; perseverance, energy	 MediaMissing 
根拠	こんきょ	basis, foundation	 MediaMissing 
混血	こんけつ	mixed race, mixed parentage	 MediaMissing 
コンタクト (レンズ)	コンタクト (レンズ)	contact; contact lens	 MediaMissing 
昆虫	こんちゅう	insect, bug	 MediaMissing 
根底	こんてい	root, basis, foundation	 MediaMissing 
混同	こんどう	confusion, mixing, merger	 MediaMissing 
コントラスト	コントラスト	contrast	 MediaMissing 
コントロール	コントロール	control	 MediaMissing 
コンパス	コンパス	compass	 MediaMissing 
根本	こんぽん	foundation, root, base	 MediaMissing 
財	ざい	fortune, riches	 MediaMissing 
再会	さいかい	meeting again, reunion	 MediaMissing 
災害	さいがい	calamity, disaster, misfortune	 MediaMissing 
細菌	さいきん	bacillus, bacterium, germ	 MediaMissing 
細工	さいく	work, craftsmanship, trick	 MediaMissing 
採掘	さいくつ	mining	 MediaMissing 
サイクル	サイクル	cycle	 MediaMissing 
採決	さいけつ	vote, roll call	 MediaMissing 
再建	さいけん	(temple or shrine) rebuilding	 MediaMissing 
再現	さいげん	reproduction, return, revival	 MediaMissing 
財源	ざいげん	source of funds, resources, finances	 MediaMissing 
在庫	ざいこ	stockpile, stock	 MediaMissing 
採算	さいさん	profit	 MediaMissing 
サイズ	サイズ	size	 MediaMissing 
再生	さいせい	playback, regeneration, resuscitation	 MediaMissing 
財政	ざいせい	economy, financial affairs	 MediaMissing 
最善	さいぜん	the very best	 MediaMissing 
採択	さいたく	adoption, selection, choice	 MediaMissing 
栽培	さいばい	cultivation	 MediaMissing 
再発	さいはつ	return, relapse, reoccurrence	 MediaMissing 
細胞	さいぼう	cell	 MediaMissing 
採用	さいよう	use, adopt	 MediaMissing 
遮る	さえぎる	to interrupt, to intercept, to obstruct	 MediaMissing 
さえずる	さえずる	to sing, to chirp, to twitter	 MediaMissing 
冴える	さえる	to be clear, to be bright, to be skillful	 MediaMissing 
竿	さお	rod, pole (e.g., for drying laundry)	 MediaMissing 
栄える	さかえる	to flourish, to prosper, to thrive	 MediaMissing 
差額	さがく	balance, difference, margin	 MediaMissing 
杯	さかずき	wine cup	 MediaMissing 
逆立ち	さかだち	handstand, headstand	 MediaMissing 
さきに (いぜん)	さきに (いぜん)	before, earlier than, previously	 MediaMissing 
詐欺	さぎ	fraud, swindle	 MediaMissing 
削減	さくげん	cut, reduction	 MediaMissing 
錯誤	さくご	mistake	 MediaMissing 
作戦	さくせん	military operations, tactics, strategy	 MediaMissing 
叫び	さけび	shout, scream, outcry	 MediaMissing 
捧げる	ささげる	to lift up, to give, to offer	 MediaMissing 
差し掛かる	さしかかる	to come near to, to approach	 MediaMissing 
指図	さしず	instruction, mandate	 MediaMissing 
差し出す	さしだす	to present, to submit, to hold out	 MediaMissing 
差し支える	さしつかえる	to interfere, to hinder	 MediaMissing 
授ける	さずける	to grant, to award, to teach	 MediaMissing 
摩する	さする	to rub, to stroke	 MediaMissing 
さぞ (さぞや。さぞかし)	さぞ (さぞや。さぞかし)	I am sure, certainly, no doubt	 MediaMissing 
定まる	さだまる	to become settled, to be fixed	 MediaMissing 
定める	さだめる	to decide, to determine	 MediaMissing 
座談会	ざだんかい	symposium, round-table discussion	 MediaMissing 
雑	ざつ	rough, crude	 MediaMissing 
雑貨	ざっか	miscellaneous goods, general goods	 MediaMissing 
殺人	さつじん	murder	 MediaMissing 
察する	さっする	to guess, to sense, to judge	 MediaMissing 
雑談	ざつだん	chatting, idle talk	 MediaMissing 
さっと	さっと	suddenly, smoothly	 MediaMissing 
さっぱりする	さっぱりする	to refresh	 MediaMissing 
悟る	さとる	to attain enlightenment, to understand	 MediaMissing 
最中	さなか	in the middle of, midst	 MediaMissing 
座標	ざひょう	coordinates	 MediaMissing 
さほど	さほど	not so, not that much	 MediaMissing 
サボる	サボる	to cut (skip) classes; to loaf on the job; to idle away one's time	MediaMissing  Genki_Ln.11 Intermediate_Japanese  Intermediate_Japanese_Ln.13 Genki
様	さま	state; way (a person does something); Mr. or Mrs.	 MediaMissing  Intermediate_Japanese Intermediate_Japanese_Ln.11
寒気	さむけ	chill, shiver, cold	 MediaMissing 
侍	さむらい	samurai	 MediaMissing  Intermediate_Japanese_Ln.7 Intermediate_Japanese
さも	さも	with gusto, with satisfaction	 MediaMissing 
作用	さよう	operation, effect, function	 MediaMissing 
さらう (こどもを～)	さらう (こどもを～)	to kidnap	 MediaMissing 
障る	さわる	to hinder, to interfere with, to affect	 MediaMissing 
酸	さん	acid	 MediaMissing 
山岳	さんがく	mountains	 MediaMissing 
参議院	さんぎいん	House of Councilors	 MediaMissing 
産休	さんきゅう	maternity leave	 MediaMissing 
サンキュー	サンキュー	thank you	 MediaMissing 
残金	ざんきん	remaining money	 MediaMissing 
産後	さんご	postpartum, after childbirth	 MediaMissing 
残酷	ざんこく	cruelty, harshness	 MediaMissing 
産出	さんしゅつ	yield, produce	 MediaMissing 
参照	さんしょう	reference, consultation, consultation	 MediaMissing 
参上	さんじょう	calling on, visiting	 MediaMissing 
残高	ざんだか	(bank) balance, remainder	 MediaMissing 
サンタクロース	サンタクロース	Santa Claus	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
桟橋	さんばし	wharf, jetty, pier	 MediaMissing 
賛美	さんび	praise, adoration, glorification	 MediaMissing 
山腹	さんぷく	hillside, mountainside	 MediaMissing 
産婦人科	さんふじんか	maternity and gynecology department	 MediaMissing 
産物	さんぶつ	product, result, fruit	 MediaMissing 
山脈	さんみゃく	mountain range	 MediaMissing 
仕上がり	しあがり	finish, end, completion	 MediaMissing 
仕上	しあげ	end, finishing touches	 MediaMissing 
仕上げる	しあげる	to finish up, to complete	 MediaMissing 
飼育	しいく	breeding, raising, rearing	 MediaMissing 
強いて	しいて	to dare, to insist	 MediaMissing 
シート	シート	seat; sheet	 MediaMissing 
ジーパン	ジーパン	jeans	 MediaMissing 
仕入れる	しいれる	to lay in stock, to replenish stock, to procure	 MediaMissing 
強いる	しいる	to force, to compel, to coerce	 MediaMissing 
潮	しお	tide	 MediaMissing 
歯科	しか	dentistry	 MediaMissing 
自我	じが	self, ego	 MediaMissing 
自覚	じかく	self-conscious	 MediaMissing 
仕掛	しかけ	device, trick, mechanism	 MediaMissing 
仕掛ける	しかける	to lay, to set, to wage	 MediaMissing 
しかしながら	しかしながら	however, nevertheless	 MediaMissing 
色彩	しきさい	color	 MediaMissing 
式場	しきじょう	ceremonial hall, place of ceremony (e.g., marriage)	 MediaMissing 
しきたり	しきたり	custom, conventional practice, tradition	 MediaMissing 
事業	じぎょう	project, enterprise, business	 MediaMissing 
仕切る	しきる	to partition, to divide, to mark off	 MediaMissing 
資金	しきん	funds, capital	 MediaMissing 
軸	じく	axis, stem, shaft	 MediaMissing 
しくじる	しくじる	to fail, to fall through, to blunder	 MediaMissing 
仕組	しくみ	structure, mechanism	 MediaMissing 
死刑	しけい	death penalty	 MediaMissing 
湿気る	しける	to be damp, to be moist	 MediaMissing 
施行	しこう	enforcement, operation	 MediaMissing 
思考	しこう	thought	 MediaMissing 
志向	しこう	intention, aim	 MediaMissing 
嗜好	しこう	taste, liking, preference	 MediaMissing 
事項	じこう	matter(s), item(s), facts	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
時刻表	じこくひょう	timetable, (train) schedule	 MediaMissing  Intermediate_Japanese_Ln.10 Intermediate_Japanese
地獄	じごく	hell	 MediaMissing 
時差	じさ	time difference	 MediaMissing 
自在	じざい	freely, at will	 MediaMissing 
視察	しさつ	inspection, observation	 MediaMissing 
資産	しさん	property, fortune, assets	 MediaMissing 
支持	しじ	support	 MediaMissing 
自主	じしゅ	independence, autonomy	 MediaMissing 
自首	じしゅ	surrender, give oneself up	 MediaMissing 
刺繍	ししゅう	embroidery	 MediaMissing 
市場	しじょう	(the) market (as a concept)	 MediaMissing 
辞職	じしょく	resignation	 MediaMissing 
雫	しずく	drop (of water)	 MediaMissing 
システム	システム	system	 MediaMissing 
沈める	しずめる	to sink, to submerge	 MediaMissing 
施設	しせつ	establishment, facility	 MediaMissing 
事前	じぜん	prior, beforehand, in advance	 MediaMissing 
子息	しそく	(hon.) son	 MediaMissing 
持続	じぞく	continuation, endurance	 MediaMissing 
自尊心	じそんしん	self-respect, conceit	 MediaMissing 
慕う	したう	to yearn to adore	 MediaMissing 
下心	したごころ	secret intention, motive	 MediaMissing 
下地	したじ	groundwork, foundation	 MediaMissing 
親しむ	したしむ	to be intimate with, to befriend	 MediaMissing 
下調べ	したしらべ	preliminary investigation	 MediaMissing 
仕立てる	したてる	to tailor, to make, to prepare	 MediaMissing 
下取り	したどり	trade in, part exchange	 MediaMissing 
下火	したび	burning low, waning, declining	 MediaMissing 
実	じつ	fruit, good result	 MediaMissing 
実家	じっか	(one's parents') home	 MediaMissing 
失格	しっかく	disqualification, elimination, incapacity (legal)	 MediaMissing 
質疑	しつぎ	question	 MediaMissing 
失脚	しっきゃく	losing one's standing, being overthrown, falling	 MediaMissing 
実業家	じつぎょうか	industrialist, businessman	 MediaMissing 
シック	シック	chic	 MediaMissing 
じっくり	じっくり	deliberately, carefully	 MediaMissing 
躾	しつけ	discipline, training	 MediaMissing 
躾ける	しつける	to discipline, to teach manners	 MediaMissing 
実践	じっせん	practice, put into practice	 MediaMissing 
質素	しっそ	simplicity, modesty, frugality	 MediaMissing 
実態	じったい	truth, fact	 MediaMissing 
失調	しっちょう	lack of harmony, imbalance	 MediaMissing 
嫉妬	しっと	jealousy	 MediaMissing 
実費	じっぴ	actual expense, cost price	 MediaMissing 
指摘	してき	pointing out, identification	 MediaMissing 
自転	じてん	rotation, spin	 MediaMissing 
助動詞	じょどうし	auxiliary verb	 MediaMissing 
淑やか	しとやか	graceful	 MediaMissing 
萎びる	しなびる	to shrivel, to fade	 MediaMissing 
シナリオ	シナリオ	scenario	 MediaMissing 
しなやか	しなやか	supple, flexible, elastic	 MediaMissing 
屎尿	しにょう	human waste	 MediaMissing 
地主	じぬし	landlord	 MediaMissing 
凌ぐ	しのぐ	to outdo, to surpass; to endure	 MediaMissing 
芝	しば	lawn	 MediaMissing 
始発	しはつ	first train	 MediaMissing 
耳鼻科	じびか	otolaryngology	 MediaMissing 
私物	しぶつ	private property, personal effects	 MediaMissing 
